C1	C2	C3	C4	C5	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	14	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	14	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	14	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	14	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
14	32	14	32	32	
14	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
32	32	32	32	32	
